대분류,신용체크구분,개인법인구분,중분류,소분류,롯데카드,비씨카드,비씨카드 기타,삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,NH농협카드,합계
국내이용금액,신용카드,개인,일시불,일반,8472999,2597098,6674936,15282178,16462071,6078261,5853279,17264464,13892755,6681767,92584872
국내이용금액,신용카드,개인,일시불,국세/지방세등,492793,48834,131713,889916,2296693,122128,88667,291822,597377,82394,4910624
국내이용금액,신용카드,개인,할부,일반,2508878,572777,1400241,5782189,3981458,1449621,1140047,3684552,3360498,1620284,24100304
국내이용금액,신용카드,개인,할부,국세/지방세등,156445,73499,153177,503985,464827,143272,113890,242681,223019,227651,2149269
국내이용금액,신용카드,개인,현금서비스,현금서비스,1058885,166997,1075295,1428524,2099841,873073,515984,1170772,1518942,605641,9438659
국내이용금액,신용카드,개인,카드론,카드론,918516,8228,0,1452303,1461347,605343,455721,1131979,1051147,466492,7551076
국내이용금액,신용카드,법인,일시불,일반,1201763,3617428,2460919,1743117,2452975,1803342,2230418,1402079,2460251,1929573,18840946
국내이용금액,신용카드,법인,일시불,국세/지방세등,371647,320126,470961,697397,223789,684729,341963,1075102,307595,100225,4122573
국내이용금액,신용카드,법인,일시불,구매전용,2717710,119672,43735,224521,1257651,225416,1253,3471472,0,25776,8043471
국내이용금액,신용카드,법인,할부,일반,1289,256832,46268,2529,2601,28968,41432,1354,39499,96575,471079
국내이용금액,신용카드,법인,할부,국세/지방세등,208,238336,12747,1,0,5729,22568,1068,9549,36954,314413
국내이용금액,신용카드,법인,할부,구매전용,0,0,0,0,0,0,0,2001,0,0,2001
국내이용금액,직불/체크카드,개인,일반,일반,108489,2622493,2869192,123138,3724679,2461040,2071328,196121,4711295,7779640,23798223
국내이용금액,직불/체크카드,개인,국세/지방세등,국세/지방세등,1431,19869,13641,1703,137604,11815,11155,952,74535,38202,297266
국내이용금액,직불/체크카드,법인,일반,일반,161,756847,888294,3768,655668,738991,451171,53994,972276,1098960,4731836
