기준년월,신용체크구분,개인법인구분,대분류,중분류,소분류,구분,value
202504,신용카드,개인,국내이용금액,일시불,일반,롯데카드,17246557
202504,신용카드,개인,국내이용금액,일시불,국세/지방세등,롯데카드,916625
202504,신용카드,개인,국내이용금액,할부,일반,롯데카드,5024000
202504,신용카드,개인,국내이용금액,할부,국세/지방세등,롯데카드,323899
202504,신용카드,개인,국내이용금액,현금서비스,현금서비스,롯데카드,2109764
202504,신용카드,개인,국내이용금액,카드론,카드론,롯데카드,1692997
202504,신용카드,법인,국내이용금액,일시불,일반,롯데카드,2427286
202504,신용카드,법인,국내이용금액,일시불,국세/지방세등,롯데카드,608115
202504,신용카드,법인,국내이용금액,일시불,구매전용,롯데카드,4864234
202504,신용카드,법인,국내이용금액,할부,일반,롯데카드,2536
202504,신용카드,법인,국내이용금액,할부,국세/지방세등,롯데카드,78875
202504,신용카드,법인,국내이용금액,할부,구매전용,롯데카드,0
202504,직불/체크카드,개인,국내이용금액,일반,일반,롯데카드,209128
202504,직불/체크카드,개인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,3516
202504,직불/체크카드,법인,국내이용금액,일반,일반,롯데카드,312
202504,직불/체크카드,법인,국내이용금액,국세/지방세등,국세/지방세등,롯데카드,0
202504,직불/체크카드,법인,국내이용금액,구매전용,구매전용,롯데카드,0
202504,신용카드,개인,해외이용금액,일시불,일반,롯데카드,322422
202504,신용카드,개인,해외이용금액,할부,일반,롯데카드,0
202504,신용카드,개인,해외이용금액,현금서비스,현금서비스,롯데카드,2220
202504,신용카드,법인,해외이용금액,일시불,일반,롯데카드,246734
202504,신용카드,법인,해외이용금액,현금서비스,현금서비스,롯데카드,22
202504,직불/체크카드,개인,해외이용금액,일반,일반,롯데카드,2012
202504,직불/체크카드,법인,해외이용금액,일반,일반,롯데카드,0
202504,신용카드,개인,회원수,전체회원수,합계,롯데카드,9572
202504,신용카드,개인,회원수,전체회원수,본인기준회원수,롯데카드,9380
202504,신용카드,개인,회원수,신규회원수(월중),합계,롯데카드,87
202504,신용카드,개인,회원수,신규회원수(월중),본인기준회원수,롯데카드,87
202504,신용카드,개인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,70
202504,신용카드,개인,회원수,전체이용회원수,합계,롯데카드,7096
202504,신용카드,개인,회원수,전체이용회원수,신판이용회원수,롯데카드,7088
202504,신용카드,개인,회원수,사용가능회원수(월말),합계,롯데카드,8693
202504,신용카드,개인,회원수,사용가능회원수(월말),본인기준회원수,롯데카드,8531
202504,신용카드,법인,회원수,신규회원수(월중),신규회원수(월중),롯데카드,0
202504,신용카드,법인,회원수,해지회원수(월중),해지회원수(월중),롯데카드,0
202504,신용카드,법인,회원수,사용가능회원수(월말),사용가능회원수(월말),롯데카드,41
202504,직불/체크카드,개인,회원수,사용가능카드수,사용가능카드수,롯데카드,330
202504,직불/체크카드,개인,회원수,사용불가카드수,사용불가카드수,롯데카드,24
202504,직불/체크카드,개인,회원수,사용가능회원수,사용가능회원수,롯데카드,320
202504,직불/체크카드,개인,회원수,사용불가회원수,사용불가회원수,롯데카드,21
202504,직불/체크카드,개인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,220
202504,직불/체크카드,법인,회원수,사용가능카드수,사용가능카드수,롯데카드,2
202504,직불/체크카드,법인,회원수,사용불가카드수,사용불가카드수,롯데카드,0
202504,직불/체크카드,법인,회원수,사용가능회원수,사용가능회원수,롯데카드,2
202504,직불/체크카드,법인,회원수,사용불가회원수,사용불가회원수,롯데카드,0
202504,직불/체크카드,법인,회원수,순수보유회원수(월말),순수보유회원수(월말),롯데카드,2
