대분류,신용체크구분,개인법인구분,중분류,소분류
국내이용금액,신용카드,개인,일시불,일반
국내이용금액,신용카드,개인,일시불,국세/지방세등
국내이용금액,신용카드,개인,할부,일반
국내이용금액,신용카드,개인,할부,국세/지방세등
국내이용금액,신용카드,개인,현금서비스,현금서비스
국내이용금액,신용카드,개인,카드론,카드론
국내이용금액,신용카드,법인,일시불,일반
국내이용금액,신용카드,법인,일시불,국세/지방세등
국내이용금액,신용카드,법인,일시불,구매전용
국내이용금액,신용카드,법인,할부,일반
국내이용금액,신용카드,법인,할부,국세/지방세등
국내이용금액,신용카드,법인,할부,구매전용
국내이용금액,직불/체크카드,개인,일반,일반
국내이용금액,직불/체크카드,개인,국세/지방세등,국세/지방세등
국내이용금액,직불/체크카드,법인,일반,일반
국내이용금액,직불/체크카드,법인,국세/지방세등,국세/지방세등
국내이용금액,직불/체크카드,법인,구매전용,구매전용
해외이용금액,신용카드,개인,일시불,일반
해외이용금액,신용카드,개인,할부,일반
해외이용금액,신용카드,개인,현금서비스,현금서비스
해외이용금액,신용카드,법인,일시불,일반
해외이용금액,신용카드,법인,현금서비스,현금서비스
해외이용금액,직불/체크카드,개인,일반,일반
해외이용금액,직불/체크카드,법인,일반,일반
회원수,신용카드,개인,전체회원수,합계
회원수,신용카드,개인,전체회원수,본인기준회원수
회원수,신용카드,개인,신규회원수(월중),합계
회원수,신용카드,개인,신규회원수(월중),본인기준회원수
회원수,신용카드,개인,해지회원수(월중),해지회원수(월중)
회원수,신용카드,개인,전체이용회원수,합계
회원수,신용카드,개인,전체이용회원수,신판이용회원수
회원수,신용카드,개인,사용가능회원수(월말),합계
회원수,신용카드,개인,사용가능회원수(월말),본인기준회원수
회원수,신용카드,법인,신규회원수(월중),신규회원수(월중)
회원수,신용카드,법인,해지회원수(월중),해지회원수(월중)
회원수,신용카드,법인,사용가능회원수(월말),사용가능회원수(월말)
회원수,직불/체크카드,개인,사용가능카드수,사용가능카드수
회원수,직불/체크카드,개인,사용불가카드수,사용불가카드수
회원수,직불/체크카드,개인,사용가능회원수,사용가능회원수
회원수,직불/체크카드,개인,사용불가회원수,사용불가회원수
회원수,직불/체크카드,개인,순수보유회원수(월말),순수보유회원수(월말)
회원수,직불/체크카드,법인,사용가능카드수,사용가능카드수
회원수,직불/체크카드,법인,사용불가카드수,사용불가카드수
회원수,직불/체크카드,법인,사용가능회원수,사용가능회원수
회원수,직불/체크카드,법인,사용불가회원수,사용불가회원수
회원수,직불/체크카드,법인,순수보유회원수(월말),순수보유회원수(월말)
금융자산,금융자산,금융자산,현금서비스잔액,현금서비스잔액
금융자산,금융자산,금융자산,합계,합계
금융자산,금융자산,금융자산,대환대출잔액,대환대출잔액
금융자산,금융자산,금융자산,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액
