대분류,신용체크구분,개인법인구분,중분류,소분류,롯데카드,비씨카드,비씨카드 기타,삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,NH농협카드,합계,기준년월
국내이용금액,신용카드,개인,일시불,일반,18436299,5460637,18353096,31358431,37708633,13316856,12027862,32075458,30112940,15125458,195622574,202205
국내이용금액,신용카드,개인,일시불,국세/지방세등,377382,72214,289625,2656115,4109056,244819,188861,355445,2610246,168068,10782206,202205
국내이용금액,신용카드,개인,할부,일반,4982111,1207778,4184483,12455276,9906115,3477912,2313449,8657185,7866380,3596426,54462632,202205
국내이용금액,신용카드,개인,할부,국세/지방세등,238988,113158,479355,1188808,899201,397172,239099,759706,693615,274997,4804744,202205
국내이용금액,신용카드,개인,현금서비스,현금서비스,2307597,422866,3097603,3863732,5484166,2444088,1251596,2171003,3855045,1378550,23178643,202205
국내이용금액,신용카드,개인,카드론,카드론,2105459,306,0,3953560,4717837,1734165,1017066,3026155,3256394,1457288,21268230,202205
국내이용금액,신용카드,법인,일시불,일반,2428211,8079805,9163187,4123620,5415704,4489178,3640426,3695710,5663198,5070432,42606284,202205
국내이용금액,신용카드,법인,일시불,국세/지방세등,442939,652726,2007417,2686891,306910,1784850,2935548,2596394,3154844,290513,14851615,202205
국내이용금액,신용카드,법인,일시불,구매전용,4293047,269418,108549,2263444,1377835,2331213,529117,2912361,0,107681,14084116,202205
국내이용금액,신용카드,법인,할부,일반,5025,651984,160444,18782,11052,77829,75690,3982,73485,326734,1244563,202205
국내이용금액,신용카드,법인,할부,국세/지방세등,52925,689735,32653,18,0,17857,97027,3477,16226,90871,968136,202205
국내이용금액,신용카드,법인,할부,구매전용,0,8232,1369,0,0,0,0,2281,0,0,10513,202205
국내이용금액,직불/체크카드,개인,일반,일반,321157,7147446,9261463,376755,9555637,6665251,4251535,155463,11646198,18813552,58932994,202205
국내이용금액,직불/체크카드,개인,국세/지방세등,국세/지방세등,764,39967,33049,2030,588669,25186,14392,319,584173,91915,1347415,202205
국내이용금액,직불/체크카드,법인,일반,일반,563,1611482,2050047,10925,1295772,1743478,1022831,82061,1892805,2528318,10188235,202205
국내이용금액,직불/체크카드,법인,국세/지방세등,국세/지방세등,0,1425391,350493,37,7855,147699,329875,394,227011,105547,2243809,202205
국내이용금액,직불/체크카드,법인,구매전용,구매전용,0,0,0,0,280708,0,0,1001,0,0,281709,202205
해외이용금액,신용카드,개인,일시불,일반,251819,100069,304132,607284,564230,258656,276507,462590,530868,118268,3170291,202205
해외이용금액,신용카드,개인,할부,일반,0,0,0,41474,31616,0,0,41446,0,0,114536,202205
해외이용금액,신용카드,개인,현금서비스,현금서비스,2146,1956,5195,4999,7092,4592,4222,3142,8262,1795,38206,202205
해외이용금액,신용카드,법인,일시불,일반,174423,286394,182782,248664,212507,148873,153043,81474,199468,38822,1543668,202205
해외이용금액,신용카드,법인,현금서비스,현금서비스,8,1458,82,69,0,78,221,0,41,69,1944,202205
해외이용금액,직불/체크카드,개인,일반,일반,352,31397,99141,2001,246801,173469,163505,0,141540,110341,869406,202205
해외이용금액,직불/체크카드,법인,일반,일반,0,71526,69604,0,87365,69604,95743,0,61518,22670,408426,202205
회원수,신용카드,개인,전체회원수,합계,8713,4727,9888,12282,14005,6786,5678,10831,11118,8098,-,202205
